feature1,feature2,feature3,habitat,target
1.0,3.5,0.1,forest,23.5
2.1,3.0,0.0,grassland,18.2
0.5,2.8,0.2,wetland,31.7
1.3,3.1,0.1,forest,22.1
2.0,3.3,0.2,grassland,19.8
0.7,2.9,0.0,wetland,29.4
1.1,3.2,0.0,forest,24.3
2.2,3.4,0.1,grassland,17.5
0.9,2.7,0.2,wetland,32.1
1.5,3.0,0.0,forest,21.8
1.8,3.6,0.1,forest,20.2
{,3.1,0.0,grassland,16.9
0.6,2.9,0.2,wetland,30.5
1.2,3.3,0.1,forest,23.7
2.1,3.2,0.2,grassland,18.9
0.8,2.8,0.1,wetland,28.6
1.4,3.4,0.0,forest,22.9
2.0,3.0,0.1,grassland,19.3
0.9,2.6,0.2,wetland,33.2
1.6,3.1,0.0,forest,21.4
1.9,3.5,0.1,grassland,19.7
2.2,3.2,0.0,grassland,17.8
0.7,2.7,0.2,wetland,31.9
1.3,3.0,0.1,forest,23.1
2.0,3.4,0.2,grassland,18.5
0.6,2.8,0.1,wetland,30.1
1.5,3.3,0.0,forest,22.6
2.1,3.1,0.1,grassland,18.1
0.8,2.9,0.2,wetland,29.8
1.7,3.2,0.0,forest,21.2
1.0,3.6,0.1,forest,20.8
2.3,3.0,0.0,grassland,16.5
0.5,2.7,0.2,wetland,32.4
1.4,3.1,0.1,forest,22.8
2.2,3.3,0.2,grassland,17.9
0.9,2.8,0.0,wetland,29.2
1.2,3.4,0.0,forest,23.9
2.0,3.2,0.1,grassland,19.1
0.7,2.9,0.2,wetland,30.7
1.6,3.0,0.0,forest,21.7
1.8,3.5,0.1,grassland,19.9
2.1,3.1,0.0,grassland,18.3
0.6,2.6,0.2,wetland,33.1
1.3,3.2,0.1,forest,23.3
2.2,3.4,0.2,grassland,17.6
0.8,2.7,0.1,wetland,31.5
1.5,3.3,0.0,forest,22.4
2.0,3.0,0.1,grassland,19.4
0.9,2.8,0.2,wetland,29.9
1.7,3.1,0.0,forest,21.5
